question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
A man heard thunder 6 second later after he saw a lighting. The temperature of air is 27°C. How far was the flash of light from the man? (Velocity of sound in air at 0°C is 332 m/s),,Physics,Mix,Sound Waves,1,Medium,1822 m,,2332 m,,2088 m,,2445 m,,3
"At constant temperature, by how much pressure should be increased in order to decrease volume by 10%?",,Physics,Mix,Gas Laws,1,Medium,9.50%,,11.11%,,10%,,12%,,2
Red and blue light are deviated by angle 10° and 12° by one prism and 8° and 10° by another prism then their ratio of dispersive power is:,,Physics,Mix,Optics,1,Hard,9/11,,11/9,,5/6,,6/5,,3
"Two charges, each of charge 1 μC are separated by a distance 1 m. Then electrostatic force between the two charges is:",,Physics,Mix,Electrostatics,1,Medium,9×10⁹ N,,9×10⁻⁹ N,,9×10³ N,,9×10⁻⁶ N,,2
"Two body of masses m₁ and m₂ move in circle of radii r₁ and r₂ respectively. If they complete the circle in equal time, then the ratio of their angular speed ω₁/ω₂ is:",,Physics,Mix,Circular Motion,1,Medium,m₁/m₂,,r₁/r₂,,m₁r₁/m₂r₂,,1,2,
The capacitance of a capacitor is independent of:,,Physics,Mix,Electrostatics,1,Easy,Quality of plates,,Size of plates,,Distance between plates,,Medium between plates,,1
An object is moving towards a plane mirror with a velocity (v) making a certain angle θ with normal of plane mirror. The velocity of image w.r.t. object is:,,Physics,Mix,Optics,1,Medium,vcosθ,,vsinθ,,2vcosθ,,2vsinθ,,3
In a capacitive circuit ...,,Physics,Mix,AC Circuits,1,Medium,I leads V by π,,V & I are in same phase,,I leads V by π/2,,I leads V by π/2,,3
If a galvanometer of I_g = 1A and G = 0.81Ω is to be made to measure 10A current then resistance of required shunt will be ...,,Physics,Mix,Current Electricity,1,Hard,0.09Ω,,0.09Ω,,9Ω,,90Ω,,1
The resistance of material at 20°C is 1.72Ω then resistance become ... at 100°C [α = 0.0039K⁻¹],,Physics,Mix,Thermal Properties,1,Medium,1.58Ω,,2.62Ω,,22.6Ω,,15.8Ω,,2
The scientific reason behind placing handle of a door close to the edge of a door is:,,Physics,Mix,Rotational Motion,1,Easy,To produce large torque from small effort,,To produce large momentum,,To produce large force from small torque,,To protect the door from unusual bonding,,1
"A length of a wire is stretched by 0.1%, then resistance change will be ...",,Physics,Mix,Current Electricity,1,Medium,0.20%,,0.80%,,0.30%,,0.40%,,2
"A slab of thickness ‘t’ (t < d) of dielectric constant ‘5’ is introduced between the plates of 10μF capacitor then, the new capacitance will be ...",,Physics,Mix,Electrostatics,1,Medium,50 μF,,100 μF,,200 μF,,400 μF,,3
Radius of conductor is increased by 2 times then specific resistance will be ...,,Physics,Mix,Current Electricity,1,Easy,2 times,,4 times,,Unchanged,,8 times,,3
"In a radioactive disintegration, if mother nuclei Z^A X undergoes β⁻ decay, then daughter nuclei will be ...",,Physics,Mix,Nuclear Physics,1,Medium,Z+1^A Y,,Z-1^A Y,,ZY^A+1,,ZY^A-1,,1
"If the kinetic energy of particle is 16 times of initial kinetic energy, then percentage change in de Broglie wavelength will be ...",,Physics,Mix,Modern Physics,1,Medium,25%,,50%,,75%,,0%,,2
"If specific charge of a particle is 1.7×10¹¹ C/kg then potential difference per unit distance is 80 V/m, then acceleration will be ...",,Physics,Mix,Electromagnetism,1,Hard,14.4×10¹² m/s²,,144×10¹⁰ m/s²,,14.4×10¹⁶ m/s²,,144×10¹⁶ m/s²,,1
Zener diode conducts when ...,,Physics,Mix,Electronics,1,Easy,Reverse breakdown voltage of Zener diode is greater than ordinary diode,,Reverse breakdown voltage of Zener diode is equal to ordinary diode,,Zener diode is less doped,,Reverse breakdown voltage of Zener diode is less than ordinary diode,,4
"Frequency of radio wave is 15 MHz, its wavelength is:",,Physics,Mix,Wave Motion,1,Medium,20 m,,30 m,,40 m,,15 m,,2
"When moving an electric charge of +5C from A to B at certain potential, 10 Joule work is done. Then find the potential difference ...",,Physics,Mix,Electrostatics,1,Easy,0.5 V,,4 V,,5 V,,2 V,,1
"A circular disc of Radius ‘R’ has a hole of radius ‘r’ is floating in surface of water, what is the surface tension force acting on the disc?",,Physics,Mix,Surface Tension,1,Hard,F = S × 2π(R + r),,F = S × 2π(R – r),,F = 2πr,,F = S + Rπr,,1
Two current carrying conductor carrying current in opposite direction:,,Physics,Mix,Electromagnetism,1,Easy,Attract,,Repel,,First attract then repel,,First repel then attract,,2
Current of 12V battery having 3 ohm resistance and 4 ohm inductance initially at t = 0 is ...,,Physics,Mix,Current Electricity,1,Medium,0 A,,1.2 A,,2.4 A,,3 A,,1
"Nylon 6,6 is formed by the condensation of the monomers:",,Chemistry,Mix,Polymer,1,Medium,"Butane-1,3-diene and 4-Propylene",,"Ethane-1,2-diol and 4-Benzenedioic acid",,Phenol and Aldehyde,,"1,6-Diamino hexane and 1,6 Hexanedioic acid",,4
Why is sodium extract boiled with HNO₃ before Lassaigne’s test?,,Chemistry,Mix,Organic Analysis,1,Easy,To remove CN⁻ and S²⁻,,To make the solution acidic,,To increase basicity,,To make solution lighter,,1
Metal used in Ziegler-Nata catalyst is:,,Chemistry,Mix,Catalysis,1,Easy,Ti,,Al,,Fe,,Br,,1
Which of the following is not true about CO?,,Chemistry,Mix,Gaseous State,1,Medium,It violets octet rule,,It makes rain water acidic,,It is pale blue in colour,,It is poisonous gas,,3
C₆H₅N₂Cl + CuCl gives ...,,Chemistry,Mix,Organic Reactions,1,Medium,C₆H₆,,C₆H₅NH₂,,C₆H₅Cl,,C₆H₅–C₆H₅,,3
Chloretone is formed when chloroform reacts with ...,,Chemistry,Mix,Organic Chemistry,1,Medium,Acetone,,Acetaldehyde,,Nitric acid,,Phenol,,1
Dehydration of ethanol (C₂H₅OH) at 170°C forms ...,,Chemistry,Mix,Organic Chemistry,1,Medium,Ethene,,Carboanion,,Carbene,,Hydrogen ethyl sulphate,,1
Which of the following is amorphous form of carbon?,,Chemistry,Mix,Carbon & Compounds,1,Easy,Diamond,,Graphite,,Fullerene,,Anthracite,,3
Which of the following compound does not show Lassaigne’s test for nitrogen?,,Chemistry,Mix,Organic Analysis,1,Medium,Urea,,Hydrazine,,Azobenzene,,Phenylhydrazine,,3
IUPAC name of CH₃COCH₂CH₃ is:,,Chemistry,Mix,Nomenclature,1,Easy,Pentan-2-one,,Propylmethyl ketone,,4-pentanone,,Ethyl acetate,,1
Which of the following is refined by zone refining process?,,Chemistry,Mix,Metallurgy,1,Easy,Si,,Ti,,D,,C,,1
All of them are extracted from Pyrometallurgy except ...,,Chemistry,Mix,Metallurgy,1,Medium,Ca,,Hg,,Fe,,Cu,,2
"On Ozonolysis, benzene gives:",,Chemistry,Mix,Organic Reactions,1,Medium,Only ethanol,,Ethanal,,Methanal,,Ethylene,,2
Which of the following give Cannizzaro reaction?,,Chemistry,Mix,Organic Reactions,1,Hard,CH₃CHO,,CH₃CHOH,,CH₂CHO,,CH₃CH₂CHO,,4
Nitrobenzene is ...,,Chemistry,Mix,Aromatic Compounds,1,Easy,m-directing,,o-directing,,p-directing,,both o- and p-directing,,1
Halo-arenes are less reactive than halo alkanes in nucleophilic substitution reaction. This is due to ...,,Chemistry,Mix,Organic Chemistry,1,Medium,inductive effect,,metamerism,,resonance,,tautomerism,,3
Commercially available concentrated HCl contains 38% HCl by mass. Calculate the molarity of the solution. (density = 1.19 gm/ml),,Chemistry,Mix,Solutions,1,Hard,11.38,,11.48,,12.38,,12.48,,1
Acetone on reaction with conc. H₂SO₄ gives:,,Chemistry,Mix,Organic Chemistry,1,Medium,Xylene,,Mesitylene,,Toulene,,Benzene,,2
Heterolytic fission gives ...,,Chemistry,Mix,Organic Chemistry,1,Easy,Carbocation,,Ions,,Free radicals,,Carbocation & carbanion,,4
Which of the following reacts with Benedict’s reagent?,,Chemistry,Mix,Organic Chemistry,1,Medium,CH₃CHO,,CH₃–C–CH₃,,C₆H₅CHO,,R–COOH,,1
The reaction is spontaneous if ...,,Chemistry,Mix,Thermodynamics,1,Medium,ΔH – TΔS is negative,,ΔH – TΔS is positive,,ΔH = TΔS,,ΔH – TΔS = 0,,1
Calculate the pH of buffer solution containing 0.02 moles of NH₄Cl and 0.2 moles of NH₄OH per litre (Given Pkb = 5).,,Chemistry,Mix,Acid-Base,1,Hard,9,,10,,11,,12,,2
"In the reaction CH₃COOH + NH₃ → CH₃COO⁻ + NH₄⁺, which acts as Bronsted acid?",,Chemistry,Mix,Acid-Base,1,Medium,CH₃COO⁻,,CH₃COO⁻ and NH₄⁺,,CH₃COOH and NH₄⁺,,NH₃ and CH₃COOH,,3
Which of the following is largest ion?,,Chemistry,Mix,Atomic Structure,1,Easy,Mg²⁺,,O⁻,,F⁻,,Na⁺,,2
"If a gas X diffuses 4 times slower than hydrogen, then the molecular weight of X is:",,Chemistry,Mix,Gaseous State,1,Medium,32,,64,,16,,8,,2
"Ratio of vapour density of gas A and gas B is 4. If molecular weight of A is M, molecular wt. of B is:",,Chemistry,Mix,Gaseous State,1,Medium,M,,M/4,,4M,,2M,,3
Percentage of oxygen in NaOH is:,,Chemistry,Mix,Basic Chemistry,1,Easy,16,,32,,10,,40,,2
"In Down’s process, which of the following takes place at cathode?",,Chemistry,Mix,Electrochemistry,1,Medium,Na⁺ gets oxidized,,Na⁺ get reduced,,H₂ is released,,Cl₂ is released,,2
Which of the following doesn’t produce Cl⁻ when reacted with AgNO₃ at 25°C?,,Chemistry,Mix,Inorganic Chemistry,1,Hard,CoCl₃.6NH₃,,CoCl₃.3NH₃,,CoCl₃.5NH₃,,CoCl₃.4NH₃,,2
"Four metal A, B, C and D have standard reduction electric potential as -3V, -2V, 0V and 1V. The metal that will be most reducing is:",,Chemistry,Mix,Electrochemistry,1,Medium,A,,B,,C,,D,,1
Zn can give H₂ gas with HCl and H₂SO₄ but not with HNO₃ why?,,Chemistry,Mix,Electrochemistry,1,Medium,Zn acts as an oxidizing agent when reacted with HNO₃,,HNO₃ is weaker acid than H₂SO₄ & HCl,,Zn is above H in electrochemical series,,NO₃⁻ is reduced in preference to hydronium ion,,4
All of the following are true for nitric acid except:,,Chemistry,Mix,Acid-Base,1,Medium,It is colorless,,It produces H₃O⁺ in aqueous solution,,It products depends upon conc.,,It exist as planer molecule,,4
Which of the following acts both as oxidizing agent and reducing agent?,,Chemistry,Mix,Redox,1,Easy,HNO₃,,HNO₂,,H₂S,,H₂SO₄,,2
"The half life of a reaction is constant on doubling the concentration of reactant, the order of reaction is:",,Chemistry,Mix,Chemical Kinetics,1,Medium,0,,1,,2,,3,,1
"If the unit of rate constant of a reaction is same as that of unit of rate constant of reaction, the order of reaction is:",,Chemistry,Mix,Chemical Kinetics,1,Medium,0,,1,,2,,3,,1
When the conc. of reactant is doubled then equilibrium constant becomes:,,Chemistry,Mix,Chemical Equilibrium,1,Medium,Doubled,,Halved,,Quadrupled,,Constant,,4
"If Kc = 2, which is true equations:",,Chemistry,Mix,Chemical Equilibrium,1,Medium,conc. of product and reactant remain same,,conc. of product is twice than reactant,,conc. of reactant is twice of product,,conc. of product is half of reactant,,2
"SO₂ + ½ O₂ → SO₃ + heat, All of the following favors formation of SO₂ except ...",,Chemistry,Mix,Chemical Equilibrium,1,Medium,↑ conc. of reactants,,↑ pressure,,Decrease in temperature,,Increase in temperature,,4
How many moles of KMnO₄ are required to oxidize 1 mole of Sn²⁺ in acidic medium?,,Chemistry,Mix,Redox,1,Medium,½,,2,,3,,4,,2
"If C + O₂ → CO₂; ΔH = -a and 2CO + O₂ → 2CO₂; ΔH = -b, find the heat of formation of CO:",,Chemistry,Mix,Thermochemistry,1,Medium,b – 2a,,b – a,,a – 2b/2,,d. a – b,,1
"Transition metal show variable oxidation state, due to emission of electron from:",,Chemistry,Mix,Transition Elements,1,Easy,(n–1)d and ns orbital,,(n–1)d orbital,,ns orbital,,np orbital,,1
Which of following is used as both fertilizer and explosive?,,Chemistry,Mix,Applied Chemistry,1,Easy,Ammonium nitrate,,Urea,,Calcium Ammonium Nitrate,,Super phosphate of lime,,3
Which of the following have/bears color to the dye?,,Chemistry,Mix,Organic Chemistry,1,Medium,Chromophore,,Cytochrome,,Chromogens,,Auxochrome,,1
Aldehyde is prepared from acid chloride by which of the following reactions:,,Chemistry,Mix,Organic Reactions,1,Medium,Rosenmund reaction,,Cannizzaro reaction,,Benzoin condensation,,Perkin’s condensation,,1
"Galvanization is process is coating zinc over iron during this process, Zn acts as:",,Chemistry,Mix,Metallurgy,1,Easy,Sacrificial anode,,Sacrificial cathode,,Anode mud,,Both b and c,,1
Which of the following produces Cl₂ at room temperature?,,Chemistry,Mix,Inorganic Chemistry,1,Medium,HCl + KMnO₄,,NaCl + MnO₂,,HBr + KCl,,Cl₂ + NaOH,,2
Ionization energy is minimum for ...,,Chemistry,Mix,Atomic Structure,1,Easy,1s²2s²2p⁶,,1s²2s²2p⁵,,1s²2s²2p³,,1s²2s²2p¹,,4
Halogen with highest electron affinity is:,,Chemistry,Mix,Periodic Table,1,Easy,Cl₂,,Br₂,,I₂,,F₂,,1
"The electronic configuration of M⁺² is 2, 8, 14. The atomic mass is 56. The no. of neutron is ...",,Chemistry,Mix,Atomic Structure,1,Medium,30,,32,,28,,26,,2
In protein amino acid are joined by ...,,Chemistry,Mix,Biomolecules,1,Medium,Peptide bond,,Glycosidic bond,,Phosphodiester bond,,Hydrogen bond,,1
Cystic fibrosis is:,,Botany,Mix,Human Diseases,1,Medium,Auto immune disease,,Genetic disorder,,Communicable disease,,Non-communicable disease,,2
Person suffering from Sickle cell anemia is:,,Botany,Mix,Human Genetics,1,Medium,More prone to Typhoid,,More prone to Malaria,,Less prone to Typhoid,,Less prone to Malaria,,2
All are true for cruciferae except:,,Botany,Mix,Plant Taxonomy,1,Medium,Didynamous,,False septum,,Six stamens,,Tetradynamous,,1
All of the following are aneuploidy except:,,Botany,Mix,Genetics,1,Medium,Turner’s syndrome,,Down’s syndrome,,Phenylketonuria,,Klinefelter’s syndrome,,3
"At meiosis, centromere separation occurs at:",,Botany,Mix,Cell Division,1,Medium,Prophase II,,Anaphase II,,Metaphase II,,Telophase II,,2
Which of the following is diploid spore?,,Botany,Mix,Plant Reproduction,1,Easy,Zygospore,,Zoospore,,Ascospore,,Basidiospore,,4
The possible blood group of offspring if father has blood group A and mother has blood group B:,,Botany,Mix,Human Genetics,1,Medium,"A, AB",,"B, AB",,"A, B, O",,"A, B, AB, O",,4
Which of the following is produced during photophosphorylation?,,Botany,Mix,Photosynthesis,1,Medium,ATP,,ATP and NADPH₂,,"ATP, H₂O",,H₂O and O₂,,2
DNA is made up of:,,Botany,Mix,Molecular Biology,1,Easy,Pentose sugar + Nitrogen base,,Nucleoside,,Nucleoside + Sugar,,Nucleoside + Phosphate,,2
Cucurbits have:,,Botany,Mix,Plant Anatomy,1,Medium,Collateral vascular bundle,,Bicollateral vascular bundle,,Radial vascular bundle,,Concentric vascular bundle,,2
Both are benefitted by each other and can’t live without one:,,Botany,Mix,Ecology,1,Medium,Proto-cooperation,,Mutualism,,Commensalism,,Antibiosis,,2
"In DNA if cytosine is 10%, amount of thymine is:",,Botany,Mix,Molecular Biology,1,Medium,10%,,20%,,40%,,50%,,2
Velamen tissue are found in:,,Botany,Mix,Plant Tissue,1,Easy,Xerophyte,,Epiphyte,,Hydrophyte,,Mesophyte,,2
Pyramid of energy is:,,Botany,Mix,Ecology,1,Easy,Spindle shape,,Always erect,,Inverted,,Sometimes erect,,2
Enzyme that cuts DNA at specific site is:,,Botany,Mix,Molecular Biology,1,Medium,Topoisomerase,,Helicase,,Unwindase,,Restriction endonuclease,,4
Grafting is not possible in monocot due to:,,Botany,Mix,Plant Anatomy,1,Medium,Absence of cambium,,Scattered vascular bundle,,Having smaller stem,,Lack of vascular tissue,,2
Which one is used in culture medium?,,Botany,Mix,Biotechnology,1,Easy,Laminaria,,Gelidium,,Alginic acid,,Spirulina,,2
Which of the following is disaccharide?,,Botany,Mix,Biomolecules,1,Easy,Maltose,,Glucose,,Cellulose,,Starch,,1
"In maize male anther matures faster than female stigma, maize is:",,Botany,Mix,Plant Reproduction,1,Medium,Heterostyly,,Herkogamy,,Protandry,,Protogeny,,3
Gemma cup is found in:,,Botany,Mix,Bryophytes,1,Easy,Cycas,,Funaria,,Mosses,,Marchantia,,4
"A colorblind man marries a normal woman whose father was colorblind, then the probability of son to be colorblind is:",,Botany,Mix,Human Genetics,1,Hard,25%,,50%,,75%,,100%,,2
"In photosynthesis, O₂ is evolved from water during:",,Botany,Mix,Photosynthesis,1,Medium,Oxidative photophosphorylation,,Photolysis of water,,Excitation of electron,,Excitation of cell,,2
Arrangement of cilia and flagella in eukaryotes:,,Botany,Mix,Cell Biology,1,Medium,9 + 2,,9 + 0,,9 + 1,,9 + 3,,1
Dissolved oxygen is decreased in pond due to:,,Botany,Mix,Environmental Biology,1,Medium,Biomagnification,,Eutrophication,,Nitrification,,Denitrification,,2
"When pyruvic acid is changed to acetyl CoA, it is:",,Botany,Mix,Respiration,1,Medium,Oxidized,,Reduced,,Isomerized,,Rearrangement,,1
Which of the following has narrow lumen?,,Botany,Mix,Plant Anatomy,1,Medium,Fibres,,Sclereids,,Tracheids,,Vessels,,2
Blocking of sieve tube of phloem is due to:,,Botany,Mix,Plant Anatomy,1,Medium,Tyloses,,Callose,,Aerenchyma,,Collenchyma,,2
"If number of chromosome in Pisum sativum is 2n = 14, then the number of linkage group is:",,Botany,Mix,Genetics,1,Medium,14,,7,,8,,15,,2
Which chromosome has centromere at center?,,Botany,Mix,Cytology,1,Easy,Metacentric,,Sub-metacentric,,Telocentric,,Acrocentric,,1
"The contents of cell is expelled out through the cell membrane, the process is called:",,Botany,Mix,Cell Biology,1,Medium,Phagocytosis,,Pinocytosis,,Endocytosis,,Exocytosis,,4
"In papilionaceous, the outer large corolla is:",,Botany,Mix,Plant Morphology,1,Easy,Keel,,Standard,,Wings,,Alae,,2
Hybrid form genetically distinct plants is not possible by traditional plant breeding method but can be obtained by:,,Botany,Mix,Plant Breeding,1,Medium,Somatic hybridization,,Genetic engineering,,Inbreeding,,Cross breeding,,1
Which of the following has same genotypic and phenotypic ratio?,,Botany,Mix,Genetics,1,Medium,Co-dominance,,Complete dominance,,Epistasis,,Dihybrid cross,,1
"A bacteria divides every 35 minutes. If a culture containing 10⁵ cells per mL is grown for 175 min, what will be the cell concentration per mL after 175 minutes?",,Botany,Mix,Microbiology,1,Medium,32×10⁵ cells,,175×10⁵ cells,,64×10⁵ cells,,16×10⁵ cells,,3
"If a cross is made between diploid (2n) female and tetraploid (4n) male, the resultant endosperm will be:",,Botany,Mix,Genetics,1,Medium,2n,,3n,,4n,,5n,,2
Compounds which help in metabolic reactions without itself being changed is:,,Botany,Mix,Biochemistry,1,Easy,Enzyme,,Hormone,,Nucleic acid,,Nucleoprotein,,1
Chemical causing chromosomal abnormality is called:,,Botany,Mix,Genetics,1,Medium,Mutagen,,Mutation,,Mutant,,Muton,,1
Which of the following unwinds DNA molecule?,,Botany,Mix,Molecular Biology,1,Medium,Helicase,,Primase,,Folic acid,,Ligase,,1
Animals found at bottom of the sea are called:,,Zoology,Mix,Ecology,1,Easy,Benthos,,Cryptosoma,,Phytoplankton,,Littoral,,1
Choose the correct succession type from the given options considering the sequence of different stage as below: Crustose lichen → Follicular lichen → Moss → Herbs → Shrub → Mesophytic tree (climax),,Zoology,Mix,Ecology,1,Medium,Hydrosere,,Psammosere,,Xerosere,,Halosere,,3
The increasing order of complexity in canal system of Porifera is:,,Zoology,Mix,Porifera,1,Medium,"Ascon, Sycon, Leucon",,"Ascon, Leucon, Sycon",,"Sycon, Leucon, Ascon",,"Leucon, Sycon, Ascon",,1
Amphids present in ventrolateral lips of Ascaris is:,,Zoology,Mix,Nematoda,1,Medium,Chemoreceptor,,Gustatoreceptor,,Olfactoreceptor,,Tactoreceptor,,1
An infected female Anopheles mosquito can infect a healthy man when:,,Zoology,Mix,Parasitology,1,Medium,Gametogony is completed,,Sporogony is completed,,Erythrocytic cycle is completed,,Erythrocytic cycle is just started,,2
"Echinodermata are brainless, heartless and headless; yet from evolutionary point of view, they have been placed on the top of invertebrates because they:",,Zoology,Mix,Echinodermata,1,Easy,have great power of regeneration,,have exclusively marine habit,,are enterocoelomate,,ammonotelic,,3
Which of the following is vertebrate?,,Zoology,Mix,Vertebrates,1,Easy,Cuttle fish,,Globe fish,,Cray fish,,Devil fish,,2
Intraocular pressure in eye is measured by:,,Zoology,Mix,Human Biology,1,Easy,Tonometer,,Barometer,,Sphygmomanometer,,Spirometer,,1
Apes are dissimilar from human due to:,,Zoology,Mix,Evolution,1,Easy,Menstruation in female,,Absence of prominent chin,,Smaller lumbar region,,Absence of tail,,2
"If the concentration of urea is less than normal in amount of a person, this can be due to:",,Zoology,Mix,Human Physiology,1,Medium,He is on longer hunger strike,,Renal calculi,,Deficiency of ADH,,Bright disease,,3
"Recapitulation theory, “Ontogeny repeats phylogeny” was proposed by:",,Zoology,Mix,Evolution,1,Easy,Haeckel,,Hugo de Vries,,Darwin,,Lamarck,,1
Grinding organ of Earthworm is:,,Zoology,Mix,Annelida,1,Easy,Pharynx,,Gizzard,,Stomach,,Intestine,,2
Intestinal caeca is present in:,,Zoology,Mix,Annelida,1,Medium,30th segment,,"14th, 15th & 16th segments",,27th segment,,26th segment,,2
Which of the following gland is only present in reptiles?,,Zoology,Mix,Comparative Anatomy,1,Medium,Mucous gland,,Femoral gland,,Sebaceous gland,,Uropygial gland,,2
All are true except:,,Zoology,Mix,Physiology,1,Medium,Blue whale: Ammonotelic,,Lizard: Ureotelic,,Human: Ureotelic,,Aves: Ureotelic,,2
"A boy sustained an accident and needs emergency blood, and doesn’t know the blood group. A doctor’s friend after consulting the doctor donated him blood immediately. The blood group doctor’s friend must have is:",,Zoology,Mix,Human Physiology,1,Medium,O⁻,,AB⁺,,O⁺,,AB⁻,,1
"If the fallopian is blocked, which of the following method is used to produce baby?",,Zoology,Mix,Reproductive Biology,1,Medium,GIFT,,IVF,,VIFT,,SVT,,2
4S gland:,,Zoology,Mix,Human Anatomy,1,Medium,Pancreas,,Pituitary,,Hypothalamus,,Adrenal gland,,4
Areolar tissue connects:,,Zoology,Mix,Human Anatomy,1,Easy,Bone to bone,,Muscle to bone,,Integument and muscles,,Muscle to fat,,4
Which one carries impulse towards CNS?,,Zoology,Mix,Nervous System,1,Easy,Auditory,,Abducens,,Trochlear,,Ventral root horn of spinal cord,,4
"If the mastication area is paralyzed, which of the following nerves is affected?",,Zoology,Mix,Nervous System,1,Medium,Optic,,Trigeminal,,Oculomotor,,Vagus,,2
