"An experiment yields 3 mutually exclusive and exhaustive events A, B, C satisfying 2P(A) = 3P(B) = 4P(C). Then P(A) is",,Mathematics,Probability,Probability Ratio Problems,2,Medium,5/11,,6/13,,7/11,,7/13,,2
The volume of liquid flowing per second out of an orifice at the bottom of tank does not depend on,,Physics,Fluid Mechanics,Fluid Flow,1,Easy,area of orifice,,height of liquid above orifice,,density of liquid,,value of g,,3
Two satellites are orbiting around the earth in a circular orbit of same radius. One of them is 5 times heavier than other. Then ratio of their time periods will be,,Physics,Gravitation,Satellite Motion,1,Medium,25:1,,10:1,,5:1,,1:1,,4
An isochoric process is one which take place at,,Physics,Thermodynamics,Thermodynamic Process,1,Easy,constant internal energy,,constant entropy,,constant volume,,constant pressure,,3
"Cloudy nights are usually warmer, because clouds",,Physics,Heat,Radiation,1,Easy,don't absorb heat,,don't radiate heat,,have low thermal conductivity,,have high thermal conductivity,,3
In stationary waves,,Physics,Waves,Stationary Waves,1,Medium,energy is uniformly distributed,,energy is minimum at nodes and maximum at antinodes,,energy is maximum at nodes and minimum at antinodes,,alternating maximum and minimum energy is produced at antinodes & nodes,,2
Electric field intensity due to infinite sheet of charge having surface charge density σ is E. The electric field due to an infinite conducting sheet of same surface charge density is,,Physics,Electrostatics,Electric Field Intensity,1,Medium,E/2,,E,,2E,,4E,,2
Bulb of power 50W & 100W are connected in series then 50W bulb will,,Physics,Electricity,Power in Series Circuit,1,Medium,glow brighter,,glow less brighter,,equal brightness,,not glow,,1
The amplification factor of transistor is 80 & base current is 250μA then collector current is,,Physics,Electronics,Transistor Amplification,1,Medium,250μA,,2×10⁴μA,,80μA,,16×10³μA,,4
Particle formed by the combination of a quark & another antiquark is,,Chemistry,Atomic Theory,Subatomic Particles,1,Easy,meson,,Baryon,,antibaryon,,nucleon,,1
The greatest height to which a man can throw a stone is 'h'. The greatest distance to which he can throw it will be,,Physics,Mechanics,Projectile Motion,1,Medium,h/2,,2h,,h,,3h,,2
"Two waves of same frequency traveling in same medium, but in opposite direction if superposed give to",,Physics,Waves,Interference,1,Medium,Beats,,Standing waves,,Resonance,,Harmonics and overtones,,2
A wire of resistance R is stretched to double of its length then resistance of wire will be,,Physics,Electricity,Resistance,1,Medium,R/4,,R/2,,2R,,4R,,4
The maximum energy of electrons released in a photo cell is independent of,,Physics,Photoelectric Effect,Electron Emission,1,Medium,Frequency of incident radiation,,Intensity of incident radiation,,Nature of cathode,,All of above,,2
The electric current due to a bulb of 25W emitting light of wavelength 6600Å having efficiency 3% is,,Physics,Modern Physics,Power & Energy,1,Medium,0.1A,,0.2A,,0.3A,,0.4A,,2
The number of electrons in sulphur atom having n + l = 3 are,,Chemistry,Atomic Structure,Quantum Numbers,1,Medium,8,,6,,4,,2,,1
Which of these have highest melting point?,,Chemistry,Chemical Bonding,Physical Properties,1,Medium,CO₂,,CaCl₂,,I₂,,SO₃,,2
O.N. of iron is minimum in,,Chemistry,Chemical Bonding,Oxidation Number,1,Medium,Fe(CO)₅,,FeO,,Fe₃O₄,,Fe₂O₃,,1
Element with highest first ionization potential is,,Chemistry,Periodic Table,Ionization Energy,1,Medium,F,,He,,O,,Ne,,2
"In the reaction SnCl₂ + 2Cl⁻ → SnCl₄, Lewis acid is",,Chemistry,Chemical Reactions,Acid-Base Theory,1,Medium,SnCl₂,,Cl⁻,,SnCl₄,,None of these,,3
The process of formation of amines by Hoffmann’s bromide method is,,Chemistry,Organic Chemistry,Hoffmann Reaction,1,Medium,Decarbonylation,,Decarboxylation,,Carboxylation,,Carbonylation,,2
Which of these is insoluble in water?,,Chemistry,Inorganic Chemistry,Solubility Rules,1,Medium,Mg(NO₃)₂,,Pb(NO₃)₂,,Al(NO₃)₃,,Bi(NO₃)₃,,4
In the electrolysis reaction Cathode used during manufacture of NaOH by Castner Kellner’s process is,,Chemistry,Electrochemistry,Industrial Processes,1,Medium,iron,,mercury,,graphite,,platinum,,2
"In open hearth process, impurities are removed using",,Chemistry,Metallurgy,Extraction of Metals,1,Medium,air,,Fe₂O₃,,CaCO₃,,SiO₂,,3
The method of purification of glycerin is,,Chemistry,Organic Chemistry,Purification Methods,1,Medium,vacuum distillation,,simple distillation,,steam distillation,,sublimation,,3
The product formed on heating sodium formate with soda-lime is,,Chemistry,Organic Chemistry,Decarboxylation,1,Medium,H₂,,CH₄,,ethane,,butane,,2
Sabatier-Sendersen process is used for the preparation of alkanes from,,Chemistry,Organic Chemistry,Alkane Synthesis,1,Medium,Alcohol,,Alkynes,,Alkynes and alkenes,,Haloalkanes,,1
Carboxylic acids are obtained by the hydrolysis of,,Chemistry,Organic Chemistry,Acid Derivatives,1,Medium,Vicinal dihalides,,Vicinal trihalides,,Geminal trihalides,,Geminal dihalides,,4
Which of the following foreign elements should be present to give blood red colouration with FeCl₃ solutions,,Chemistry,Qualitative Analysis,Group III Analysis,1,Medium,N,,N and S,,S only,,X,,2
(~P ∧ q) is equal to,,Mathematics,Logic,Logical Equivalence,1,Medium,~P ∨ ~q,,~P ∧ ~q,,~P ∨ q,,P ∨ ~q,,3
The product of nᵗʰ roots of unity is:,,Mathematics,Complex Numbers,Roots of Unity,1,Medium,(1)^(2n-1),,(-1)^n,,(-1)^(n-1),,(-1)^(2n-1),,3
"If the roots of the equation ax² + bx + c = 0 are both positive, then",,Mathematics,Quadratic Equations,Nature of Roots,1,Medium,whatever be the sign of b...,,"signs of a, b and c should be alike",,signs of a and c should be alike and opposite to the sign of b,,signs of b and c should be alike and opposite to a,,3
The principal value of sin⁻¹(sin 5π/3) is,,Mathematics,Trigonometry,Inverse Trigonometric Functions,1,Medium,π/3,,-5π/3,,-π/3,,4π/3,,3
Which of the following represents a pair of perpendicular lines?,,Mathematics,Coordinate Geometry,Lines,1,Medium,2x² = 2y(2x + y),,x² = (3 - y²)²,,2x² = y(2x - y),,x² = (2x - y)²,,4
"The focal distance of a point P on the parabola y² = 12x if the ordinate of P is 6, is",,Mathematics,Conic Sections,Parabola,1,Medium,8,,6,,4,,3,,1
Value of limₓ→∞ xtan(1/x) is,,Mathematics,Limits,Indeterminate Forms,1,Medium,0,,∞,,-1,,1,,1
"If y = sin⁻¹(cosx), then dy/dx is",,Mathematics,Differentiation,Derivatives,1,Medium,0,,-1,,π/2,,π,,2
"If a and b are mutually perpendicular vectors of equal magnitude, then angle between a and a + b is",,Mathematics,Vectors,Vector Algebra,1,Medium,π/4,,π/3,,π/2,,2π/3,,1
"A and B are two events such that P(A) = 0.45, P(B) = 0.60, P(A ∪ B) = 0.90 and P(A ∩ B) = 0.15 then P(A/B) =",,Mathematics,Probability,Conditional Probability,1,Medium,1/4,,1/3,,1/5,,1,,2
"If y = e^(1 + logₑx), then the value of dy/dx",,Mathematics,Differentiation,Exponential Functions,1,Medium,e,,1,,0,,log x,,1
∫ 1 / √(x² - a²) dx equals,,Mathematics,Integration,Standard Integrals,1,Medium,log(x + √(x² - a²)) + c,,log(x - √(x² - a²)) + c,,sin⁻¹(x/a) + c,,cos⁻¹(x/a) + c,,1
"If 1, 2, 3 be projection of line along axes then length of line is",,Mathematics,Vectors,3D Geometry,1,Medium,6,,√6,,√14,,2√14,,4
Which of the following is horizontal ellipse,,Mathematics,Conic Sections,Ellipse,1,Medium,9x² + 4y² = 1,,16x² + 25y² = 1,,16x² + 9y² = 1,,4x² + y² = 1,,1
"The inverse of coefficient matrix of the system of equation 2x + 3y = 1, 4x + 6y = 3 is",,Mathematics,Matrices,Matrix Inversion,1,Medium,[2 3; 4 6],,[6 -3; -4 2],,[-2 3; 2 -3],,Does not exist,,4
"The mode of the following item 0, 1, 6, 7, 2, 3, 7, 6, 6, 2, 6, 0, 5, 6, 0 is",,Mathematics,Statistics,Mode,1,Easy,6,,2,,0,,5,,1
The value of log(p/q) + log(q/r) + log(r/p) is,,Mathematics,Logarithm,Properties of Logarithms,1,Easy,1,,0,,-1,,(p²/qr),,2
The value of 1 – log2 + (log2)²/2! – (log2)³/3! + …..,,Mathematics,Series,Infinite Series,1,Medium,2,,½,,log3,,e²,,4
The minimum value of 1 / (3sinx – 4cosx + 5),,Mathematics,Trigonometry,Trig Min/Max Values,1,Medium,1/2,,½,,1/10,,10,,3
The phonemic transcription of ‘friable’ is,,English,Phonetics,Transcription,1,Easy,/frIəbl/,,/fræəbl/,,/frIəbl/,,/frIeIbl/,,1
The word ‘contaminate’ has its primary stress on the …..syllable.,,English,Grammar,Word Stress,1,Easy,1st,,2nd,,3rd,,none of these,,2
They all wait ……the patient.,,English,Grammar,Prepositions,1,Easy,for,,on,,at,,in,,1
To find real happiness in the world is a wild goose chase.,,English,Idioms,Phrase Meaning,1,Medium,fascinating pursuit,,hunting game,,useless search,,lofty ideal,,3
She did nothing but ……,,English,Grammar,Tense/Infinitive,1,Easy,singing,,sing,,sung,,sang,,2
You and he ……good friends.,,English,Grammar,Subject-Verb Agreement,1,Easy,are,,is,,was,,has been,,1
"If John comes, ……I shall help him",,English,Grammar,Conditional Sentence,1,Easy,help him,,leave him,,be helping him,,all of these,,1
I heard him ……the house.,,English,Grammar,Verb Usage,1,Easy,leave,,left,,to leave,,has left,,1
Dainty,,English,Vocabulary,Word Meaning,1,Easy,fragile,,brittle,,hard,,breakable,,1
Choose the correct sentence.,,English,Grammar,Sentence Correction,1,Easy,The poor should be helped,,The poor must be helped,,Let the poor be helped,,The poor were helped,,1
Don’t keep saying that ……,,English,Grammar,Sentence Structure,1,Easy,V + Present Participle,,S + V + Gerund,,V + Gerund,,S + V,,2
G.P. Koirala ……we are going to bring peace in our country very soon.,,English,Grammar,Reported Speech,2,Easy,said,,delivers speech,,told that,,has told,,1
"A large block of ice 10m thick has a vertical hole drilled through it. If block is floating in lake, the minimum length of rope required to scoop up a bucket full of water through hole is, if relative density of ice is 0.7",,Physics,Fluids,Buoyancy,2,Medium,4m,,7m,,3m,,6m,,1
The change in gravitational potential energy of a body of mass 'm' raised to a height nR on surface of earth of radius R is,,Physics,Gravitation,Gravitational PE,2,Medium,(n / (n + 1)) mgR,,(n / (n - 1)) mgR,,n mgR,,mgR / n,,4
A thief is running on straight road with 9 m/s. A policeman chases him on a motorcycle with 10 m/s when separation is 100 m. Time to catch thief is,,Physics,Motion,Relative Motion,2,Medium,5s,,10s,,90s,,100s,,2
An air bubble of radius 1cm at bottom of pond at 7°C temperature & 5.6 atm pressure rises to surface at 27°C. Then radius of bubble will be,,Physics,Thermodynamics,Gas Laws,2,Medium,1.2cm,,1.5cm,,1.8cm,,2cm,,2
A 5cm square slide is to be projected on a screen 2m square. Distance between slide and screen is 4.1m. Then focal length of projecting lens is,,Physics,Optics,Lens Formula,2,Medium,4.4cm,,9.8cm,,15cm,,20cm,,1
Two slits separated by a distance of 1mm are illuminated with light of wavelength 6×10⁻⁷m. Distance between third dark fringe and 5th bright fringe is,,Physics,Wave Optics,Interference,2,Medium,0.6mm,,1.5mm,,3mm,,4.5mm,,2
"The apparent frequency of a note is 200 Hz when a listener is moving at 40 m/s towards stationary source. When source moves away at same speed, apparent frequency is 160 Hz. Then velocity of sound is",,Physics,Sound Waves,Doppler Effect,2,Hard,340 m/s,,330 m/s,,360 m/s,,320 m/s,,3
The electric potential at a certain point is 600V and electric field strength at that point is 150 N/C. The distance of point is,,Physics,Electrostatics,Potential and Field,2,Medium,2m,,3m,,4m,,6m,,1
A wire of length 100 cm is connected to a cell of 2V & negligible internal resistance. Resistance of wire is 3Ω. Additional resistance needed for 1mV/cm Pd is,,Physics,Electricity,Potential Difference,2,Medium,60Ω,,47Ω,,57Ω,,35Ω,,3
A magnetic field of 20T is applied normal to coil of 100 turns & area 10⁻²m². If coil is removed in 2ms then induced emf will be,,Physics,Electromagnetism,Faraday’s Law,2,Medium,2kV,,5kV,,7kV,,10kV,,4
In an AC circuit the instantaneous value of emf and current are E = 400sin314t 'V' and I = sin(314t + π/3)A. Then average power consumed is,,Physics,Alternating Current,Power in AC,2,Medium,200W,,25W,,100W,,300W,,1
A sample of 10g initially decay then mass after two mean lives is,,Physics,Nuclear Physics,Radioactive Decay,2,Medium,2.5g,,3.7g,,6.3g,,1.35g,,2
The wavelength of light incident on a metal surface changes from 2100Å to 2000Å then change in stopping potential is,,Physics,Modern Physics,Photoelectric Effect,2,Medium,0.1 V,,0.3 V,,0.5 V,,1.1 V,,3
The cost of electricity required to deposit 2g of Mg is Rs.10. The cost to deposit 4.5g of Al is,,Chemistry,Electrochemistry,Electroplating,2,Medium,Rs. 22.5,,Rs. 60,,Rs. 30,,Rs. 90,,2
The standard hydrogen electrode potential is,,Chemistry,Electrochemistry,Electrochemical Series,1,Easy,0 V,,1 V,,0.5 V,,-1 V,,1
"If 8g of NaOH is dissolved in 2 litre solution, the pH is",,Chemistry,Acids & Bases,pH Calculation,2,Medium,2,,1,,14,,13,,4
"Among the C-X bond (where X = Cl, Br, I), the correct bond energy order is",,Chemistry,Chemical Bonding,Bond Energy,2,Medium,C–Cl > C–Br > C–I,,C–I > C–Cl > C–Br,,C–Br > C–Cl > C–I,,C–I > C–Br > C–Cl,,1
The gas formed by passing NH₃ over bleaching powder is,,Chemistry,Inorganic Chemistry,Reactions of NH₃,1,Medium,O₂,,Cl₂,,N₂,,H₂,,2
The IUPAC name of (CN)₂ is,,Chemistry,Organic Chemistry,Nomenclature,1,Medium,Dicyanide,,Cyanagen,,Ethane dinitril,,Ethane dicyanide,,3
What is X in the following reaction? KHSO₄ + F₂ → HF + X,,Chemistry,Inorganic Chemistry,Halogens,2,Medium,K₂SO₄,,K₂S₂O₄,,K₂S₂O₈,,K₂SO₄,,3
"With the increase in temperature, which of the following property of liquid decreases",,Chemistry,Properties of Matter,Surface Tension/Viscosity,1,Medium,Surface tension,,Viscosity,,Both (a) and (b),,Can't be predicted,,3
"If f(x) = x / (1 - x), x ≠ 1 then the range of f is:",,Mathematics,Functions,Range of Function,2,Medium,"(−∞, ∞)",,"(−1, 1) ∪ (1, ∞)",,"(∞, 1) ∪ (1, ∞)",,"(−∞, −1) ∪ (−1, ∞)",,4
The number of ways in which a mixed double tennis game be organized between 10 players consisting of 6 men and 4 women is,,Mathematics,Permutation & Combination,Counting Principles,2,Medium,180,,90,,48,,24,,1
The nth term of the series 1² + (1² + 2²) + (1² + 2² + 3²) + … is:,,Mathematics,Series,Summation,2,Medium,n(n + 1)(2n + 1)/6,,n² + n/3,,n(n² − 1),,n(n² + 3)/2,,4
"The variance of the data 2, 4, 6, 8, 10 is",,Mathematics,Statistics,Measures of Dispersion,1,Easy,6,,7,,8,,5,,4
"In a binomial distribution if q = 0.50 and n = 40, then the mean and the standard deviation are",,Mathematics,Probability Distribution,Binomial Distribution,2,Medium,"20, 3.16",,"40, 4.2",,"20, 5.4",,"30, 2.5",,1
"If the radius of in circle of a triangle with its sides 5k, 6k and 5k is 6, then k is equal to:",,Mathematics,Geometry,Inradius of Triangle,2,Medium,4,,6,,5,,3,,3
The differential equation of the family of curves y = acos(x + b) is,,Mathematics,Differential Equations,Second Order DE,2,Medium,d²y/dx² + y = 0,,d²y/dx² + y = 0,,d²y/dx² + 2y = 0,,dy/dx = y/x,,1
The circle x² + y² + 2gx + 2fy + c = 0 touches x axis if,,Mathematics,Geometry,Circles,2,Medium,g = c²,,f² = c²,,g² = c,,f² = c,,4
In the ellipse x²/a² + y²/b² = 1 the angle between the lines joining the foci with the positive end of minor axis is a right angle. Then the eccentricity is,,Mathematics,Conic Sections,Ellipse,2,Medium,√3/2,,√2,,1/√2,,1/√3,,3
"If P = (0, 1, 0) and Q = (0, 0, 1) be the given points, then the projection of PQ on the plane x + y + z = 3 is",,Mathematics,Vectors,Projection on Plane,2,Medium,√2,,3,,√3,,2,,4
"If f(x₀) exists, then lim Δx→0 [f(x₀ + Δx) − f(x₀ − Δx)] / 2Δx is equal to",,Mathematics,Limits & Derivatives,Derivatives,2,Medium,½ f′(x₀),,f′(x₀),,2f′(x₀),,{f′(x₀)}²,,1
Value of ∫ dx / (x − 1)√(x² − 1) equals,,Mathematics,Integration,Standard Integrals,2,Medium,(x − 1)/(x + 1) + c,,√(x − 1)/(x + 1) + c,,√(x + 1)/(x − 1) + c,,cos⁻¹(x/a) + c,,3
"If ΔABC, ∠C is right angle. The maximum value of cosA·cosB is",,Mathematics,Trigonometry,Maximum/Minimum Values,2,Medium,½,,5/3,,2/3,,1/3,,1
Area bounded by parabola y² = x and straight line 2y = x in square unit is,,Mathematics,Coordinate Geometry,Area Between Curves,2,Medium,4/3,,5/3,,2/3,,1/3,,3
"If a î + ĵ + k̂, î + b ĵ + k̂ and î + ĵ + c k̂ are coplanar then:",,Mathematics,Vectors,Coplanarity,2,Medium,a + b + c = 0,,abc = 1,,a + b + c = abc + 2,,a + b + c ≠ 0,,1
The Commonwealth is characterized by,,English,Reading Comprehension,Passage-Based MCQ,2,Medium,failure of the constituents to work for same goals,,racial nature of its membership,,uniform lack of moral standards,,constant redefining of objectives,,4
"The super powers may claim to have same laudable objectives, but",,English,Reading Comprehension,Passage-Based MCQ,2,Medium,do not work earnestly to achieve them,,undo each other's efforts,,still act against the interests of mankind,,do not see them in right perspective,,3
"Common goals are desirable, but these",,English,Reading Comprehension,Passage-Based MCQ,2,Medium,do not ensure international co-operation,,lead to unnecessary tensions,,encourage rivalry between super powers,,lead to destruction of mankind,,3
"International co-operation can come about, if",,English,Reading Comprehension,Passage-Based MCQ,2,Medium,nations become aware of their own failings and discard pride,,charitable organizations are encouraged,,different races are treated on the basis of equality,,nations guilty of immoral actions are exposed,,1
KE of a particle varies with time as (3t + 4). The nature of force acting on particle is,,Physics,Mechanics,"Work, Energy & Power",1,Medium,constant,,varies inversely with velocity,,varies directly with velocity,,none of above,,3
A body slides a smooth inclined plane and reaches at bottom in 10 seconds and body reaches to ground in 5 seconds if dropped from same height. The inclination of plane is,,Physics,Mechanics,Laws of Motion,1,Medium,30°,,45°,,60°,,75°,,2
The relation du + dw = 0 is valid for,,Physics,Thermodynamics,First Law of Thermodynamics,1,Easy,adiabatic process,,isothermal process,,isobaric process,,isochoric process,,1
Two sound waves of slightly different frequencies propagating in same direction produce beats due to,,Physics,Waves & Oscillations,Sound Waves,1,Easy,interference,,diffraction,,polarization,,refraction,,1
A thin aluminium slab is placed between the plates of parallel plate capacitor then its capacitance will,,Physics,Electrostatics,Capacitors,1,Medium,increases,,decreases,,remain same,,become infinite,,1
Uniform wire of 24Ω is bent in the form of circle. The effective resistance between two points on any diameter is,,Physics,Current Electricity,Resistance,1,Easy,6Ω,,12Ω,,24Ω,,3Ω,,1
A coin placed in a vessel & water of μ = 4/3 is poured in it. If the depth of water is 32 cm then coin appears to be raised by,,Physics,Optics,Refraction,1,Medium,10.6 cm,,8 cm,,24 cm,,16 cm,,1
The reverse current corresponding to reverse voltages 10V & 20V are 25μA and 50μA. The reverse resistance is,,Physics,Electronics,Diodes,1,Medium,40 kΩ,,400 kΩ,,4 kΩ,,4Ω,,3
The ratio of de Broglie’s wavelength of proton and α particle accelerated by same potential is,,Physics,Modern Physics,Quantum Mechanics,1,Hard,1/2√2,,√2,,2√2,,1/2,,1
A body of mass 'm' tied to a string is moved in a vertical circle of radius 'r' with minimum speed. The difference in tensions at the lowest point and highest point of circle is,,Physics,Mechanics,Circular Motion,1,Medium,2mg,,6mg,,4mg,,8mg,,3
A pendulum is in SHM has velocity ‘v’ of bob at its mean position. If amplitude of vibration is made double the velocity at mean position will be,,Physics,Waves & Oscillations,Simple Harmonic Motion,1,Medium,v/2,,v,,2v,,4v,,3
The length of a conductor is doubled and its radius is halved then the specific resistance of it,,Physics,Current Electricity,Resistance,1,Medium,Remain unchanged,,Halved,,Doubled,,Quadrupled,,1
Two charges are placed at certain distance in air. If a brass plate is introduced in between plates then force between plates will be,,Physics,Electrostatics,Coulomb's Law,1,Medium,Increases,,Decreases,,Remain same,,Become zero,,2
A plane mirror is approaching at 5 cm/s toward you then the image will approach you at,,Physics,Optics,Reflection,1,Easy,10 cm/s,,5 cm/s,,20 cm/s,,15 cm/s,,1
Which of the following set of quantum numbers is not permitted?,,Chemistry,Atomic Structure,Quantum Numbers,1,Easy,"n = 4, l = 3, m = 0",,"n = 4, l = 0, m = 0",,"n = 4, l = 2, m = 0",,"n = 4, l = 4, m = 1",,4
NH₃ and BF₃ form an addition product readily because they form,,Chemistry,Chemical Bonding,Types of Bonds,1,Medium,co-ordinate covalent bond,,ionic bond,,covalent bond,,hydrogen bond,,1
The equivalent weight of HNO₃ in very dilute condition is,,Chemistry,Equivalence Concepts,Acids,1,Medium,mol. wt / 1,,mol. wt / 2,,mol. wt / 4,,mol. wt / 8,,1
Which of the following is the smallest cation?,,Chemistry,Periodic Table,Periodic Properties,1,Medium,Na⁺,,Mg⁺²,,Al⁺³,,Ca⁺²,,3
The law of conservation of mass was given by,,Chemistry,Basic Concepts,Laws of Chemical Combination,1,Easy,Lavoisier,,Dalton,,Proust,,Landoit,,1
"While passing hard water through permutit, Ca⁺⁺ is exchanged with",,Chemistry,Environmental Chemistry,Hardness of Water,1,Easy,H⁺,,OH⁻,,Na⁺,,Mg⁺⁺,,3
Which of the following represents phthalic acid?,,Chemistry,Organic Chemistry,Carboxylic Acids,1,Medium,[Image a],,[Image b],,[Image c],,[Image d],,1
The flux used during extraction of copper from copper pyrite is,,Chemistry,Metallurgy,Extraction,1,Medium,CaO,,CaCO₃,,P₂O₅,,SiO₂,,1
Cementite is,,Chemistry,Metallurgy,Alloys,1,Medium,Fe₃C',,Fe₄C₃,,Fe₃C,,FeC₃,,3
The reactive intermediate obtained by homolytic bond fission is,,Chemistry,Organic Chemistry,Reaction Mechanism,1,Medium,free radical,,carbocation,,carbanion,,carbene,,1
The IUPAC name of C₆H₅CH₂OH is,,Chemistry,Organic Chemistry,IUPAC Nomenclature,1,Easy,Benzene alcohol,,Methyl phenol,,Phenyl methanol,,Benzyl alcohol,,4
